name,value,,
Delta Air Lines 2018 revenue,44438000000,,
The Coca-Cola Company's 2018 revenue,31856000000,,
"Georgia revenue year ending June, 2020",48627366201,,
The Home Depot's 2018 revenue,108203000000,,
"NFL's revenue last season, approximately",15000000000,,
