name,value,,
Delta Air Lines 2018 revenue,"44,438,000,000",,
The Coca-Cola Company's 2018 revenue,"31,856,000,000",,
"Georgia revenue year ending June, 2020","48,627,366,201",,
The Home Depot's 2018 revenue,"108,203,000,000",,
"NFL's revenue last season, approximately","15,000,000,000",,
